day,platform,format,pillar,topic,offer,status
1,Instagram,Reel,education,3 healthcare marketing mistakes,free prompt,READY
2,Instagram,Carousel,AI workflow,5 prompts that save clinic marketers time,free prompt,READY
3,YouTube Shorts,Short,education,How to turn one topic into 5 posts,none,READY
4,Facebook,Post,trust,What a professional clinic content system looks like,none,READY
5,Instagram,Reel,product_demo,AI Healthcare Growth Kit walkthrough,1999,READY
6,LinkedIn,Post,AI workflow,Healthcare content workflow for small teams,none,READY
7,Instagram,Carousel,FAQ,Common healthcare marketing content questions,free prompt,READY
8,YouTube Shorts,Short,education,One-minute content planning tip,none,READY
9,Instagram,Reel,myth_busting,AI content myths for healthcare marketers,free prompt,READY
10,Facebook,Post,product_demo,What's inside the Complete Bundle,1999,READY
11,Instagram,Carousel,education,30-day content planning framework,none,READY
12,LinkedIn,Post,trust,Human review in healthcare AI workflows,none,READY
13,YouTube Shorts,Short,AI workflow,Prompt-to-post workflow,free prompt,READY
14,Instagram,Reel,soft_conversion,Create content faster without starting from scratch,1999,READY
15,Facebook,Post,education,How to repurpose one video,none,READY
16,Instagram,Carousel,product_demo,250 prompt engine preview,1999,READY
17,LinkedIn,Post,AI workflow,Content QA checklist,free prompt,READY
18,YouTube Shorts,Short,education,3 hooks for healthcare content,free prompt,READY
19,Instagram,Reel,trust,Why healthcare content needs review,none,READY
20,Facebook,Post,product_demo,30-day calendar preview,1999,READY
21,Instagram,Carousel,FAQ,Questions before buying a healthcare marketing kit,none,READY
22,YouTube Shorts,Short,AI workflow,Turn FAQs into content,free prompt,READY
23,Instagram,Reel,soft_conversion,From idea to caption in minutes,1999,READY
24,LinkedIn,Post,education,Healthcare content pillars,none,READY
25,Instagram,Carousel,product_demo,Master prompt preview,1999,READY
26,Facebook,Post,trust,Ethical AI content principles,none,READY
27,YouTube Shorts,Short,education,Content calendar tip,free prompt,READY
28,Instagram,Reel,product_demo,Complete Bundle overview,1999,READY
29,LinkedIn,Post,soft_conversion,Why systems beat random posting,1999,READY
30,Instagram,Carousel,product_demo,Choose your toolkit tier,1999,READY
